product_name,msrp,effective_date,source_url,matched_title,price_type
PlayStation5 Pro CFI-7000B01,137980,2000-01-01,manual,手動補正,
PlayStation5 Slim Digital エディション CFI-2000B01,59980,2000-01-01,https://www.playstation.com/ja-jp/ps5/,PlayStation5 Slim Digital CFI-2000B01,
PlayStation5 Slim Disc CFI-2000A01,66980,2000-01-01,https://www.playstation.com/ja-jp/ps5/,PlayStation5 Slim Disc CFI-2000A01,
PlayStation VR2 “Horizon Call of the Mountain” 同梱版 CFIJ-17001,94980,2000-01-01,manual,手動補正,
PlayStation VR2 CFIJ-17000,89980,2000-01-01,manual,手動補正,
PlayStation Portal リモートプレーヤー CFIJ-18000,39980,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91PlayStation-Portal-%E3%83%AA%E3%83%A2%E3%83%BC%E3%83%88%E3%83%97%E3%83%AC%E3%83%BC%E3%83%A4%E3%83%BC-%E3%83%9F%E3%83%83%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88-CFIJ-18001/dp/B0DT3QWDMZ,,
Meta Quest 3 512GB,98189,2000-01-01,https://www.amazon.co.jp/META-Meta-Quest-3-512GB/dp/B0CF1DLZPY,,
Meta Quest 3S 128GB,57273,2000-01-01,https://www.amazon.co.jp/Meta-Quest-3S-128GB-%EF%BD%9C%E8%A4%87%E5%90%88%E7%8F%BE%E5%AE%9F%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%AB%E9%A3%9B%E3%81%B3%E8%BE%BC%E3%82%82%E3%81%86%EF%BD%9C%E3%81%82%E3%82%8A%E3%81%88%E3%81%AA%E3%81%84%E4%BD%93%E9%A8%93%EF%BD%9C%E3%82%AA%E3%83%BC%E3%83%AB%E3%82%A4%E3%83%B3%E3%83%AF%E3%83%B3MR%E3%83%BBVR%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88/dp/B09MJQKS5D,,
Meta Quest 3S 256GB,77000,2000-01-01,https://www.amazon.co.jp/Meta-Quest-%E8%A4%87%E5%90%88%E7%8F%BE%E5%AE%9F%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%AB%E9%A3%9B%E3%81%B3%E8%BE%BC%E3%82%82%E3%81%86-%E3%81%82%E3%82%8A%E3%81%88%E3%81%AA%E3%81%84%E4%BD%93%E9%A8%93-%E3%82%AA%E3%83%BC%E3%83%AB%E3%82%A4%E3%83%B3%E3%83%AF%E3%83%B3MR%E3%83%BBVR%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88/dp/B09JMJX9DT,,
PS5 コントローラー “Spider-Man 2”  CFI-ZCT1JZ2,11480,2000-01-01,manual,手動補正,
PS5 コントローラー 30周年 CFI-ZCT1J30,13980,2000-01-01,manual,手動補正,
PS5 コントローラー ロボット CFI-ZCT1JZ3,11480,2000-01-01,manual,手動補正,
PS5 コントローラー “FINAL FANTASY”  CFIJ-15500,11480,2000-01-01,manual,手動補正,
"PS5 コントローラー  “ゴッド・オブ・ウォー"" CFI-ZCT1JZ1",11480,2000-01-01,manual,手動補正,
PS5 コントローラー フォートナイ CFI-ZCT1JZ4,11480,2000-01-01,manual,手動補正,
PS5 ワイヤレスコントローラー “ゴッド・オブ・ウォー” 20th Anniversary リミテッドエディション CFI-ZCT1JZA,11480,2000-01-01,manual,手動補正,
PS5 コントローラー “Marathon” リミテッドエディション CFI-ZCT1JZD,11345,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-Marathon-%E3%83%AA%E3%83%9F%E3%83%86%E3%83%83%E3%83%89%E3%82%A8%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3-CFI-ZCT1JZD/dp/B0GJC5JGX3,,
PS5 コントローラーアストロボット ジョイフル リミテッドエディション CFI-ZCT1JZC,12999,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense%C2%AE-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%82%A2%E3%82%B9%E3%83%88%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88-%E3%83%AA%E3%83%9F%E3%83%86%E3%83%83%E3%83%89%E3%82%A8%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3-CFI-ZCT1JZC/dp/B0FQ52M1W2,,
PS5 ワイヤレスコントローラー “原神” リミテッドエディション CFI-ZCT2JZE,12999,2000-01-01,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88-CFI-ZCT2JZE-%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%83%AA%E3%83%9F%E3%83%86%E3%83%83%E3%83%89%E3%82%A8%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3%EF%BC%88CFI-ZCT2JZE%EF%BC%89/dp/B0G52BPT27,,
PS5 コントローラー テクノ レッド CFI-ZCT2J13,11291,2000-01-01,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88-CFI-ZCT2J13-%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%83%AC%E3%83%83%E3%83%89%EF%BC%88CFI-ZCT2J13%EF%BC%89/dp/B0GGGJCDMC,,
PS5 コントローラー リミックス グリーン CFI-ZCT2J14,11285,2000-01-01,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88-CFI-ZCT2J14-%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%EF%BC%88CFI-ZCT2J14%EF%BC%89/dp/B0GGHJ3QT2,,
